job_id,agency,#_of_positions,business_title,level,job_category,career_level,salary_range_from,salary_range_to,salary_frequency,preferred_skills,posting_date,post_until
616556,dept of healthmental hygiene,1,child care registrar bureau of childcare,00,constituent services community programs health public safety inspections enforcement,experienced nonmanager,41887.0,51500.0,annual,strong communication analytic and observational skills strong computer skills highly organized excellent attention to details and solution oriented experience with data entry and querying large data sets a plus,,2024-11-20
632927,consumer and worker protection,1,legal staff associate 632927,04,legal affairs,experienced nonmanager,43728.0,52242.0,annual,excellent verbal written and professional interpersonal communication skills able to conduct database and online research of government and business records strong analytical and organizational skills with a high level of attention to detail excellent judgment discretion and ability to appropriately handle legal issues highly sensitive documents privileged and confidential information able to meet competing deadlines in a fastpaced environment and maintain the flexibility to shift priorities quickly effectively and with accuracy proficiency in microsoft office programs eg outlook excel access word powerpoint and sharepoint are pluses adobe acrobat professional software work with pdf documents and files and as well as with a variety of online resources knowledge and understanding of litigation terminology and processes with the ability to read and understand legal rules and regulations at least one year of experience working with attorneys such as in a legal assistant paralegal project management process improvement role preferred must be able to read write and speak english fluently,2024-09-04,2024-06-30
593391,dept of healthmental hygiene,1,school health nurse practitioner bureau of school health,00,constituent services community programs health policy research analysis,experienced nonmanager,58700.0,117000.0,annual,a valid nys license as a pediatric or family nurse practitioner with a minimum of 3600 hours of licensed np experience clinical experience in family planning and adolescent health knowledge of current family planning standards of practice familiarity with best practices in working with adolescents effective communication and interpersonal skills computer skills in microsoft office experience with electronic medical records ability to maintain good public relations and to communicate effectively with students other clinical providers school staff and parents ability to have sensitivity and flexibility when working with groups of various backgrounds ability to travel to various school locations across nyc,,
628406,dept of parks recreation,19,city park worker,00,building operations maintenance,entrylevel,20.8937,20.8937,hourly,1ability to drive to locations in all 5 boroughs 2ability to work flexible hours nights and weekends as needed 3bilingual englishspanish 4strong organizational communication and leadership skills 5commercial driver license a plus,2024-01-03,
619459,hradept of social services,5,staff nurse,00,health,experienced nonmanager,100750.0,100750.0,annual,able to communicate verbally and in writing able to utilize computer programs and enter data in an electronic field visit report bilingual ability assessment skills time management,2024-05-02,
604463,dept of healthmental hygiene,1,assistant commissioner health promotion of justice impacted populations,m4,constituent services community programs health social services,executive,80931.0,160000.0,annual,demonstrated success as a strategic leader capable of designing and driving system transformation in a large program or organization demonstrated knowledge about and experience in policy andor programmatic work at the intersection of behavioral health and criminal justice including how health and criminal justice systems intersect experience implementing programs with measurable outcomes able to direct monitoring and evaluation of programmatic work experience building effective supervisory teams staffing and retaining employees able to identify policy opportunities and advocate for solutionoriented strategies to make policy change creative problemsolver who enjoys working in fastpaced environment highly motivated and able to coordinate multiple projectstasks superior decisionmaking skills including demonstrable critical thinking skills and impeccable judgement able to develop and work with budgets and other financial records highly collaborative team play able to build effective collaborative relationships across sectors skilled negotiator with ability to compromise skilled public speaker able to represent the health department and work at the interface of behavioral health and criminal justice sophisticated understanding of the nyc public health and mental health systems commitment and demonstrated success advancing racial equity and social justice,2023-12-09,
597818,law department,1,facilities central clerk pt administration,03,administration human resources building operations maintenance,experienced nonmanager,21.7641,35.26,hourly,proficiency in microsoft office suite strong written and verbal communication skills ability to multitask comfortable with fastpaced environment,2023-10-08,
600928,dept of healthmental hygiene,1,medical epidemiologist bureau of communicable diseases,03,constituent services community programs health policy research analysis,experienced nonmanager,161619.0,173194.0,annual,masters degree in public health or a related field or completion of epidemic intelligence service program of the centers of disease control and prevention excellent verbalwritten communication skills with the ability to interpret complex data and convey concepts in a clear and concise way flexibility and adaptability,,
631397,dept of environment protection,1,2024bws013quality assurance graduate intern valhalla,00,engineering architecture planning,student,18.0,18.0,hourly,student must currently be enrolled at a college or university at the graduate level majoring in a hard science chemistry physics engineering or environmental policy student must have at least a 25gpa on a 40 scale knowledge of engineering drawings and concepts strong writing skills effective communication and interpersonal skills familiarity or experience with ms office suite including spreadsheets and databases leadership skills including self motivation and ability to work well with minimal supervision,2024-02-04,2024-06-07
630896,dept of healthmental hygiene,1,assistant commissioner bureau of food safety,m4,green jobs health public safety inspections enforcement,executive,88437.0,193413.0,annual,the ideal candidate will have significant experience managing complex operations especially in a fastpaced regulatory environment excellent judgment and creative problemsolving skills and exceptional oral written and interpersonal skills they will be an effective and inclusive collaborator with experience managing a large and diverse team and able to maintain effective working relationships with employees at all levels they will have demonstrated skills in overseeing administrative functions including management of budgets and human resources prior experience and expertise designing implementing and overseeing inspectional and enforcement activities and using data to inform policies and programs is strongly preferred knowledge of new york citys administrative processes as well as of city state and federal public health laws and regulations is welcome as is a strong background in environmental health and food safety science to prevent and control disease and nuisances dedication to promoting the health and wellbeing of all new yorkers and a commitment to the health departments values of science equity and compassion are a must,,2024-07-16
622652,dept of design construction,1,summer graduate intern,00,engineering architecture planning,student,15.93,22.0,hourly,the program is geared toward students majoring in engineering architecture construction management urban planning andor sustainability design,,
632518,department of correction,1,eeo summer college intern,00,administration human resources legal affairs,student,16.0,16.0,hourly,the selected candidates should have a demonstrated interest in public service an interest in correction andor an interest in employment discrimination law and policy excellent communication and interpersonal skills strong research and writing abilities and the demonstrated ability to successfully balance multiple assignments and projects are preferred,2024-04-04,2024-06-03
591401,dept of design construction,1,project manager,00,engineering architecture planning,experienced nonmanager,62370.0,71726.0,annual,candidates should be able to manage construction managers complete multiple multitrade projects on schedule possess strong computer organizational verbal and written communication skills and be attentive to details,,
631770,dept of environment protection,1,2024bwso011distribution engineering groundwater pumping intern,00,engineering architecture planning,student,16.0,16.0,hourly,student must be enrolled at a college or university majoring in civil engineering mechanical engineering or electrical engineering enrollment in a civil engineering technology or mechanical engineering technology program will also be acceptable students must have at least a 25 gpa on a 40 scale selection criteria strong writing skills effective interpersonal skills familiarity andor experience with computerssoftware selfmotivation and ability to work well with minimal supervision,2024-02-04,2024-06-07
610609,dept of healthmental hygiene,3,grants development and compliance analyst bureau of budget,02,policy research analysis,experienced nonmanager,82506.0,82506.0,annual,federal state and private grant application and oversight experience excellent analytical problemsolving communication and project management skills strong budgeting experience including ability to review monitor and analyze budgets and perform expenditure planning a plus highly organized and systematic with attention to detail able to work independently with an aptitude for multitasking and managing multiple projects,2023-12-10,2024-10-11
632815,department of correction,1,operations research summer college intern,00,policy research analysis,student,16.0,16.0,hourly,the selected candidates should have a demonstrated interest in public service an interest in correction andor an interest in employment discrimination law and policy excellent communication and interpersonal skills strong research and writing abilities and the demonstrated ability to successfully balance multiple assignments and projects are preferred experience with python programming experience with databases and sql background coursework in machine leaning deep learning simulation optimization reinforcement learning,2024-08-04,2024-06-07
620792,dept of environment protection,1,senior ehs specialist assessments and measurement,01,public safety inspections enforcement,experienced nonmanager,70087.0,84805.0,annual,preferred skills 1 highly proficient with using ms office including word excel and powerpoint 2 strong knowledge of federal epa nys dec and other related environmental regulations 3 experience in project management and supervising environmental related contracts 4 strong oral presentation training and writing skills 5 experience in preparing and presenting technical material to management staff 6 ability to work independently requiring minimal daytoday direction or oversight 7 experience in conducting technical research and providing interpretation of environmental requirements 8 professional ehs certifications or equivalent are preferred such as chmm sms cihcsp cpeaqep etc and iso 45001 iso 14001 certifications etc from exemplar global or other comparable certification issuing bodies 9 possess a valid nys dec class ab operator credential for overseeing bulk chemical management special requirements 1 motor vehicle drivers license valid in the state of new york and must be kept for the duration of the employment 2 new york city residency is required within 90 days of appointment abilities required 1 ability to work independently requiring minimal daytoday direction or oversight 2 ability to manage and prioritize multiple tasks 3 ability to write review and edit reports 4 ability to collect and analyze relevant data on spreadsheets 5 ability to work efficiently under pressure and meet restrictive deadlines,2024-02-01,
624754,dept of design construction,2,summer graduate intern,00,engineering architecture planning,student,15.93,22.0,hourly,the program is geared toward graduate students majoring in engineering architecture construction management urban planning andor sustainability design,,
622623,dept of design construction,1,capital scope engineer,00,engineering architecture planning,experienced nonmanager,62370.0,71726.0,annual,candidates should process excellent verbal and written communication skills proficiency in microsoft office and autocad applications and design experience related to infrastructure works ie sewer water mains roadway works candidates must also be familiar with nycdot nysdot and nycdep specifications and standards mutcd aashto and understand the nyc infrastructure system as well as current engineering methods and standards experience with infoworks or other drainage modeling software primavera p6 scheduling is a plus,,
619896,department of transportation,1,project coordinator osip,00,constituent services community programs policy research analysis,experienced nonmanager,59116.0,91768.0,annual,ideal candidates must be able to demonstrate strong creative and analytical problemsolving skills and have experience or demonstrate interest in transportation dynamics transportation policy bike share andor cycling experience working with the public community groups and new york city agencies and strong verbal and written communication skills are also desired experience or interest in autocad arcgis excel powerpoint andor adobe creative cloud are desirable it is desirable that the candidate possess a valid new york state motor vehicle drivers license,,
627649,hradept of social services,1,vendor performance evaluation coordinator,03,administration human resources social services,experienced nonmanager,64137.0,73758.0,annual,ability to work under pressure and restrictive deadlines in an atmosphere of intense activity and be able to elicit the same from subordinate staff strong knowledge of the procurement and sourcing solutions portal passport system vendex the financial management system fms and public procurement posting system ppps in order to retrieve and compile data into reports as required strong interpersonal skills which allow for effective direct communications with dsshradhs officials agency staff and oversight agencies to which the office relates strong knowledge of the procurement policy board ppb rules and the nyc charter as it relates to the oversight approval process excellent analytical ability research skills possess problem solving prevention and resolution skills excellent writing and computer skills,,
632924,consumer and worker protection,1,settlement officer 632924,00,legal affairs,experienced nonmanager,49640.0,57086.0,annual,strong communication skills proficiency in microsoft office adobe and microsoft excel detail oriented knowledge of internet and accela a plus familiarity with case preparation for an administrative tribunal a plus,2024-09-04,2024-06-29
586966,dept of environment protection,1,accountable manager,02,engineering architecture planning public safety inspections enforcement,experienced nonmanager,71884.0,104104.0,annual,proficient oral and written communication skills to effectively communicate with project staff engineersarchitects inspectors consultants contractors foreign and domestic vendors city operations staff and external project stakeholders such as regulatory agencies and community representatives have a detailed understanding of permitting equipment and materials codes and standards shopfield testing able to determine adequacy and completeness of field investigation plans and reports to support the development of more complex designs or scope change requests ability to assess applicability and appropriateness of field investigation protocols for stated objectives possess a working knowledge of current safety and design standards able to review interpret and approve complex contract documents able to understand the necessary project resources to effectively identify upcoming needs or existing conflicts able to assess consultantcontractor performance based on contract requirements able to evaluate project progress regularly in terms of potential impacts to schedule compliance understand schedule implications of change orders and recovery plans understand the process to prepare the communication management plan employ effective time management practices knowledge of engineering design and construction industry standards and practices as well as environmental engineering operations and processes for water supply and wastewater resource recovery facilities strong technical skills interpersonal communication and computer skills with a working knowledge of ms office software and project scheduling software knowledge of operations and processes for wastewater resource recovery facilities knowledge of design and construction industry standards and practices as well as a strong ability to work on a broad multidisciplinary base with various fields and trades as well as the ability to concurrently handle multiple related and nonrelated tasks experience in writing and reviewing contract specifications for major public works projects,,
607197,office of emergency management,1,emergency operations center program manager,01,policy research analysis public safety inspections enforcement,experienced nonmanager,65000.0,74000.0,annual,excellent organization project management and facilitation skills excellent oral and written communications skills experience with quantitative and qualitative data management and visualization tools ability to work on and lead multiple projects concurrently strong microsoft office and microsoft 365 skills interest in emergency management and disaster response,2023-09-11,
634272,department of finance,1,division budget procurement manager,00,administration human resources finance accounting procurement policy research analysis,experienced nonmanager,110000.0,115000.0,annual,at least 3 to 5 years of budget andor procurement experience in nyc government including supervision of staff performing related work an accounting degree experience or 24 semester credits in accounting is a plus experience handling and managing accounting responsibilities experience with the nyc passport and financial management systems fms hands on experience developing and preparing financial budgets grants and purchasing and contracts and related functions direct experience overseeing and managing budget and procurement related processes delivery management,,2024-05-31
589831,office of the comptroller,1,lead auditor,02,finance accounting procurement,experienced nonmanager,76000.0,82000.0,annual,demonstrated ability to successfully complete complex and challenging audits or reviews requiring a high degree of analytical and communication ability experience conducting audits in accordance with gagas performance auditing standards andor internal audit standards published by the iia exhibited leadership ability in a team environment excellent writing skills and excellent time management record,2023-12-06,
592102,dept of environment protection,1,energy engineer,00,engineering architecture planning technology data innovation,experienced nonmanager,62370.0,93587.0,annual,advanced degree masters or phd in mechanical engineering or a related field bachelors degree acceptable with significant relevant experience demonstrated proficiency in energy efficiency analysis and implementation across industries strong knowledge of energy audits modeling and analysis using relevant software familiarity with mechanical systems and energyconsuming equipment 5 years experience in managing energyrelated projects familiarity with wastewater treatment processes and systems familiarity with greenhouse gas accounting particularly as related to the wastewater sector understanding of energy regulations standards and incentive programs ability to identify energysaving opportunities and propose effective solutions certified energy manager cem or other similar certifications,2023-06-10,
633798,dept of parks recreation,1,team leader,m4,engineering architecture planning,manager,142000.0,142000.0,annual,1familiarity with new york city government and parks recreation policies and procedures 2five years of experience managing projects and staff 3excellent communication skills including public speaking and experience in translating between technical and nontechnical stakeholders 4strong time management and task prioritization abilities 5strong general management skills including the ability to listen to and motivate staff 6driver license valid in new york state,,2024-05-10
632610,dept of design construction,1,senior estimator,00,policy research analysis,experienced nonmanager,62370.0,93587.0,annual,experience in construction planning and supervision ability to read and interpret construction documents experience in cost estimating and bid variance analysis knowledge of construction schedules candidate must have excellent organizational interpersonal written and verbal communications skills experience in facilitating meetings ability to work collaboratively with a team excellent client orientation and communications skills excellent problemsolving and analytical skills candidate must have proficiency in microsoft office including excel,2024-10-04,
615138,dept of healthmental hygiene,2,nyeis help desk consultant bureau of early intervention,01,administration human resources,experienced nonmanager,47418.0,54531.0,annual,preference will be given to those individuals with excellent telephone computer and writing skills additionally possess good communication organizational skills the ability to work under pressure and meet deadlines is a plus,2023-06-11,2024-05-30
525425,nyc employees retirement sys,1,administrative accountant m3,m3,finance accounting procurement,manager,100000.0,110000.0,annual,ability to manage and execute multiple complex projects within required timeframes excellent analytical written and oral communication skills familiarity with the us gaap and reporting standards experience with leading or managing audits strong computer skills and knowledge of accounting software preferably sage 300,,
627571,manhattan community board 12,1,community associate,00,constituent services community programs,entrylevel,45000.0,45000.0,annual,ba or bs degree knowledge of and familiarity with the washington heightsinwood community experience with content development for social media and websites passionate about public service and helping others ability to adapt to change in a fastpaced environment detailedoriented enjoys interacting with people daily experience in working with community groups or on a small team excellent customer service and communication skills demonstrated information managementcomputer skills including microsoft 365 zoom and adobe database skills are a bonus fluency in spanish,,
599765,dept of design construction,1,junior engineer design,00,engineering architecture planning,experienced nonmanager,56181.0,64608.0,annual,preference will be given to candidates with excellent verbal and written communication skills proficiency in microsoft office and autocad applications and design experience related to infrastructure works ie sewer water mains roadways candidates must also be familiar with nycdot nysdot and nycdep specifications and standards mutcd aashto and understand the nyc infrastructure system as well as current engineering methods and standards experience with primavera p6 scheduling is a plus,2023-10-10,
634657,consumer and worker protection,1,inspector 634657,01,public safety inspections enforcement,experienced nonmanager,46448.0,53415.0,annual,strong written and oral communication skills proficiency in microsoft programs fluency in a language in addition to english a plus detail oriented and organized candidate must be experienced and comfortable driving any city vehicle which may include a large vehicle throughout the five boroughs of new york city,,2024-07-01
632272,dept of environment protection,1,2024bpac002environmental compliance outreach intern,00,constituent services community programs communications intergovernmental affairs,student,16.0,16.0,hourly,student must currently be enrolled at a collegeuniversity at the undergraduate level student must have at least a 25gpa on a 40 scale highly proficient with using ms office including word excel experience in community centered activities community relations engaging with the pubic civic groups andor business community experience with office equipment including copiers scanners preferred but optional proficient speaker in bangla spanish russian or urdu selection criteria excellent public speaking and writing skills familiarity andor experience with computerssoftware ms office including word excel leadership skills selfmotivation and ability to work well with minimal supervision,2024-04-04,2024-06-02
606649,admin for childrens svcs,1,deputy director of policy,00,policy research analysis social services,experienced nonmanager,58700.0,192152.0,annual,the ideal candidate must possess the following experience working with child welfare and juvenile justice statutes regulations and policies experience in conducting research preferably legal research and analysis excellent writing and editing skills excellent interpersonal skills strong oral communication skills supervisory experience preferred project management experience is a plus strong computer skills eg formatting word documents creating excel spreadsheets preferred the ideal candidate is a teamplayer with the ability to work and produce in a fastpaced environment,2024-12-04,2024-05-12
626361,nyc housing authority,1,assistant civil engineer,00,legal affairs,experienced nonmanager,62370.0,93587.0,annual,1analytical problemsolving demonstrates strong problemsolving skills applying analytical thinking to address complex challenges has the ability to translate technical requirements into practical business solutions 3selfmotivated learner exhibits a proactive approach to learning new business processes and regulations especially when faced with ambiguous and demanding projects 4data management proficient in data manipulation using tools like excel access or similar database software skilled in managing blending analyzing and reporting on quantitative data from various sources familiarity with sql python r power bi and tableau is a plus 5attention to detail highly attentive to details ensuring the quality and accuracy of work 6discretion and diplomacy demonstrates a keen sense of discretion and diplomacy acknowledging the sensitive nature of the work and the need to navigate various stakeholders while maintaining transparency 7language proficiency desirable fluency in one or more languages such as chinese russian or spanish,,2024-05-31
633544,office of management budget,1,analyst oti,02,finance accounting procurement policy research analysis,entrylevel,72712.0,92435.0,annual,qualifications demonstrated interest andor experience in the public sector professional experience applying quantitative and qualitative skills or equivalent academic experience ability to use good judgement under pressure motivation to work on projects with long timelines and creativity while facing problems without clearly defined solutions the ideal candidate will be able to meet tight deadlines the candidate should have excellent written and verbal communication skills and possess strong interpersonal skills must be able to work evenings and weekends as needed requirements analyst 72712 bachelors degree in business finance economics public policy analysisadministration or a subject related to the specific assignment and a minimum of two years responsible budgetary planningmanagement financial analysis public policy analysisadministration or a related field or an awarded masters degree in financial management business public administration or a field related to the specific assignment senior analyst 81803 bachelors degree in business finance economics public policy analysisadministration or a subject related to the specific assignment and a minimum of three years of fulltime experience in budgetary planningmanagement financial analysis public policy analysisadministration or a related field or an awarded masters degree in business public policy administration finance economics or related field and one year of relevant experience supervising analyst 92435 bachelors degree and a minimum of four years of fulltime experience in budgetary planningmanagement accounting financial analysis public policy analysis or a related field or an awarded masters degree in business public administration finance economics or a related field and two years of relevant experience,,
627798,dept of healthmental hygiene,1,deputy director infant injury surveillance bureau of maternal infant and reproductive health,4a,constituent services community programs health policy research analysis,experienced nonmanager,103026.0,118480.0,annual,exceptional organizational communication and teamwork skills good understanding of infant health and health equity issues in nyc proven writing skills with ability to synthesize information into succinct readable reports and presentations experience in creating infographics preferred proven project management and organizational skills comfort in working in a fastpaced environment,,2024-06-22
617402,dept of design construction,1,director,m2,engineering architecture planning,experienced nonmanager,64922.0,144066.0,annual,preference will be given to candidates with at least four years of strong managerial administrative or supervisory experience with design experience related to infrastructure work ie sewer water mains roadways familiarity with troubleshoot hydraulic geotechnical and structural issues familiarity with nycdot nysdot and nycdep specifications and standards familiarity with mutcd and aashto understanding of the nyc street infrastructure system and knowledge of current and uptodate engineering methods and standard excellent verbal and written communication skills knowledge and use of computers and proficiency in microsoft office applications is a must,,
613086,department of transportation,1,associate deputy commissioner,m6,administration human resources engineering architecture planning,manager,180000.0,220000.0,annual,professional engineer or extensive experience in traffic engineering significant experience overseeing development and maintenance of an extensive traffic control system previous experience developing the design engineering supportreview and quality control of multimillion dollar traffic capital projects proven ability to implement strategic traffic engineering initiatives that promote multimodal mobility in a large urban setting managerial level participation in the deployment and expansion of stateoftheart fiber optic installations wirewireless communications automated enforcement camera programs and electronic technology to reduce traffic congestion and improve traffic safety ability to promote operational leadership and ensure an engaged traffic operations workforce though a variety of agency projects regarding safety continuous improvement and customer satisfaction in the implementation of the mayors vision zero safety initiative goals demonstrated ability to develop and motivate staff broad scope of experience executing highly complex engineering programs and projects as well as development of policy to complement engineering objectives,,
616511,dept of healthmental hygiene,7,child care inspector bureau of childcare,01,health public safety inspections enforcement,experienced nonmanager,49961.0,49961.0,annual,strong communication analytic and observational skills ability to deduce potential impacts of conditions or assess risk writing skills including the ability to adequately describe observations in detail computer skills including the use of mobile computing devices,,2024-11-16
632070,dept of environment protection,1,2024bws018risk management program intern valhalla,00,engineering architecture planning,student,16.0,16.0,hourly,student must currently be enrolled at a collegeuniversity at the undergraduate level with a field of study in sciences or engineering student must have at least a 25gpa on a 40 scale knowledge of engineering designs and concepts strong writing skills effective communication and interpersonal skills familiarity or experience with ms office suite including spreadsheets databases and auto cad leadership skills including selfmotivation and ability to work well with minimal supervision,2024-02-04,2024-06-04
567207,department of transportation,1,civil engineer 2,02,engineering architecture planning,experienced nonmanager,80557.0,111917.0,annual,ability to communicate effectively in verbal and written form knowledge of current civil engineering design and construction practices in the field of bridge rehabilitation and construction the ideal candidate will have served at least two years as the field engineer or project manager team leader for a large bridge reconstruction projects thorough knowledge of engineering principles and ability to identify field problems to suggest technically viable corrective measures in a timely manner,2023-12-01,
629771,dept of healthmental hygiene,1,executive director of operations bureau of mental hygiene administration,4b,health,executive,105746.0,150000.0,annual,proficiency in excel strong analytical skills and ability to manipulate and interpret data knowledge of and experience with new york city government financing and budgeting and its financial systems such as bms and fms demonstrated commitment to advancing racial equity and social justice knowledge of government contracting and financial administration creative problemsolver who enjoys a fastpaced environment and is able to coordinate and move projects to completion superior decisionmaking skills including demonstrable critical thinking and judgement outstanding written and oral communication interpersonal and teambuilding skills project management skills necessary to ensure timely completion of tasks some auditing experience ability to manage staff and be responsive detailoriented with outstanding organizational skills,2024-12-03,2024-07-10
