job_id,agency,#_of_positions,business_title,level,job_category,career_level,salary_range_from,salary_range_to,salary_frequency,preferred_skills,posting_date,post_until
634786,bronx district attorney,1,it quality assurance analyst,01,technology data innovation legal affairs public safety inspections enforcement,experienced nonmanager,89550.0,105000.0,annual,,,2025-04-29
586279,off of payroll administration,1,procurement analyst,03,finance accounting procurement,experienced nonmanager,60010.0,100875.0,annual,must currently be a city employee who is permanent in the title of procurement analyst or a comparable title,2023-10-05,
580483,dept of environment protection,1,senior it systems specialist cloud and infrastructure,02,technology data innovation,experienced nonmanager,85371.0,109990.0,annual,,2023-08-04,
634341,district attorneymanhattan,1,special victims counselor,00,social services,experienced nonmanager,65058.0,65058.0,annual,,,2024-05-25
622270,dept of design construction,1,assistant to the chief of cadd,00,engineering architecture planning,experienced nonmanager,59116.0,80000.0,annual,preference will be given to candidates with the following proficiency in autocad civil 3d and carlson software and latest improvements thereof knowledge of file transmission methods between cad platforms and client systems familiarity with ddc design standards and protocols including autocad experience in topographic survey water sewers and roadway construction plans and profiles,2024-01-02,
616449,hradept of social services,25,infoline agent,02,social services,experienced nonmanager,41248.0,47435.0,annual,,,
592155,dept of healthmental hygiene,2,team leader bureau of school health,02,constituent services community programs health policy research analysis,experienced nonmanager,51528.0,60088.0,annual,,2023-07-07,2024-07-06
631602,dept of environment protection,3,assistant quality assurance engineer,00,engineering architecture planning public safety inspections enforcement,experienced nonmanager,62370.0,93587.0,annual,,2024-02-04,
580828,borough presidentbronx,1,special events coordinator,00,constituent services community programs,entrylevel,38333.0,63794.0,annual,,2023-03-04,
582550,dept of environment protection,1,scada support specialist,02,technology data innovation,experienced nonmanager,85371.0,109990.0,annual,,,
611255,dept of healthmental hygiene,1,field medical doctor bureau of school health,01,constituent services community programs health policy research analysis,experienced nonmanager,79.23,84.86,hourly,,,
626874,law department,60,assistant corporation counsel,00,legal affairs,entrylevel,82500.0,84975.0,annual,,,
624743,district attorneymanhattan,1,fiscal analyst,00,finance accounting procurement,experienced nonmanager,65037.0,65037.0,annual,,,2024-05-25
632511,department of correction,1,department of correction public information summer college intern,00,administration human resources communications intergovernmental affairs policy research analysis,student,16.0,16.0,hourly,,2024-04-04,2024-06-03
631423,housing preservation dvlpmnt,4,nyc 1515 case manager,00,constituent services community programs,entrylevel,48170.0,48170.0,annual,,2024-01-04,2024-05-31
556399,dept of environment protection,9,associate water use inspector level i,01,public safety inspections enforcement,experienced nonmanager,53345.0,75425.0,annual,,,
591366,department of transportation,1,per diem testifiersearcher,02,policy research analysis,experienced nonmanager,30.5506,46.0969,hourly,excellent verbal communication and computer skills strongly desired,,
634981,district attorneymanhattan,1,reference librarian,00,legal affairs policy research analysis,entrylevel,58049.0,58049.0,annual,,2024-01-05,
629057,housing preservation dvlpmnt,1,executive director database administration,m1,technology data innovation,executive,137807.0,147807.0,annual,,,2024-06-13
633836,dept of design construction,1,deputy director,00,engineering architecture planning,experienced nonmanager,58682.0,127720.0,annual,candidates should possess a minimum of 7 years of experience supervising staff and in hazardous materials management specifically asbestos lead and mold survey and oversight of abatementremediation candidates with valid nys department of labor license as an asbestos inspector designer project monitor or nycdep asbestos investigator license are preferred this position requires candidates to hold a drivers license valid in the state of new york and be comfortable driving in all 5 boroughs of nyc,,
635058,housing preservation dvlpmnt,1,net developer for hpd tech,03,technology data innovation,experienced nonmanager,100743.0,115854.0,annual,,2024-02-05,2024-07-31
580467,dept of environment protection,2,auto mechanic,00,public safety inspections enforcement,experienced nonmanager,298.24,347.2,daily,1computer skills 2strong customer service skills 3automotive service excellence ase certifications and other related technical licenses and certifications,,
631732,off of payroll administration,1,silver star attorney,04,legal affairs policy research analysis,experienced nonmanager,49.7373,75.1697,hourly,,,
631273,dept of environment protection,3,mariner,00,building operations maintenance,entrylevel,68962.0,68962.0,annual,,,
590950,office of the comptroller,1,staff auditor,01,finance accounting procurement,entrylevel,70000.0,74561.0,annual,exposure to audit processes and procedures fundamental understanding of new york citys governing structure and agencies is a plus sound writing skills as well as interpersonal and organizational skills including microsoft office suite proficiency are essential,,
628589,dept of environment protection,1,computer specialist,02,technology data innovation,experienced nonmanager,93288.0,120190.0,annual,,,2024-05-17
628184,bronx district attorney,1,child abusesex crimes bureau file clerk,00,legal affairs public safety inspections enforcement,experienced nonmanager,40866.0,40866.0,annual,,,2025-02-27
607184,department of transportation,3,rigger,00,building operations maintenance,experienced nonmanager,416.32,416.32,daily,,,2024-05-08
627355,dept of homeless services,18,peace officer,00,public safety inspections enforcement,experienced nonmanager,36955.0,53264.0,annual,,2024-05-03,
587066,department of transportation,1,senior counsel,m1,legal affairs,manager,58700.0,161534.0,annual,at least eight years of relevant recent fulltime experience serving in a responsible executive or senior supervisory capacity preferred experience as a manager in the public sector with litigation and information technology experience is preferred,,
539286,bronx district attorney,10,homicide counsel assistant district attorney,00,legal affairs public safety inspections enforcement,manager,165000.0,167610.0,annual,,2022-12-07,2024-12-28
512652,hradept of social services,2,unit clerk,03,constituent services community programs communications intergovernmental affairs social services,experienced nonmanager,36390.0,41848.0,annual,,,
633194,dept of environment protection,1,accountable manager,02,engineering architecture planning public safety inspections enforcement,experienced nonmanager,88026.0,122295.0,annual,,,
634278,financial info svcs agency,1,silver star fiscal analyst,02,finance accounting procurement,experienced nonmanager,37.3629,45.0,hourly,,,
585608,dept of environment protection,1,parttime electrician,00,building operations maintenance,experienced nonmanager,62.88,62.88,hourly,knowledge of commonly used concepts practices and procedures within the electrical trade should be familiar with trade specific tools and equipment as well as construction industry safety standards and procedures to ensure project security must have basic computer skills,,
628807,dept of healthmental hygiene,1,forensic mortuary technician i,01,health,experienced nonmanager,45697.0,59308.0,annual,,2024-04-03,
631854,dept of design construction,1,auditor,02,engineering architecture planning,experienced nonmanager,74041.0,85147.0,annual,candidates should have knowledge of various types of capital construction consultant contracts applicable rules regulations and comptrollers directives 2 6 and 7 of the city of new york candidates should also possess excellent verbal written and computer skills and be proficient in microsoft office,,
622153,campaign finance board,1,digital operations specialist,02,communications intergovernmental affairs technology data innovation,experienced nonmanager,70000.0,85000.0,annual,,2024-08-01,
634368,department of transportation,1,area supervisor,02,building operations maintenance,experienced nonmanager,82666.0,125369.0,annual,,,2024-05-08
627356,office of the comptroller,1,senior budget analyst,00,finance accounting procurement,experienced nonmanager,85000.0,95000.0,annual,,,
633706,housing preservation dvlpmnt,1,senior net programmeranalyst,03,technology data innovation,experienced nonmanager,100743.0,115854.0,annual,,,2024-07-16
635175,dept of parks recreation,10,climber pruner,00,green jobs building operations maintenance public safety inspections enforcement,experienced nonmanager,70128.0,70128.0,annual,preference will be given to applicants who file and take the climber pruner civil service examination exam no 4033 the filing period started may 1 2024 and ends on may 21 2024 for exam information visit wwwnycgovdcas and click on employment,2024-03-05,
599225,dept of environment protection,1,project manager for design build procurement,03,finance accounting procurement,experienced nonmanager,60010.0,85000.0,annual,,2023-06-10,
631432,office of management budget,1,summer graduate intern community boards,00,communications intergovernmental affairs finance accounting procurement policy research analysis,student,19.5,19.5,hourly,description of specific skills required good computer skills are a must including extensive knowledge of microsoft word excel adobe professional and access databases interest in the citys neighborhoods and their issues problems and needs is very helpful candidate should be able to reach out and work with the citys 59 community boards and their staffs in addition writing research and analytical skills are also essential as noted an avid interest in city government and the various neighborhoods is extremely important thank you for your interest requirements graduate interns must be currently enrolled or accepted into a graduate program candidates should have strong analytical quantitative research and communication skills additionally candidates must be proficient in ms word and excel to participate in the omb summer internship program graduate students must be currently enrolled or accepted into a graduate program compensationduration summer graduate intern1950 per hour internships will run for 10 weeks from june 3 2024 to august 9 2024 the work must be done during the regular workday 930 am to 530 pm no evenings or weekends,,
626503,dept of environment protection,1,deputy portfolio manager,m3,engineering architecture planning public safety inspections enforcement,manager,72038.0,192152.0,annual,,,
597890,dept of environment protection,1,fleet safety and compliance officer,00,public safety inspections enforcement,experienced nonmanager,94715.0,136260.0,annual,5 years experience in a risk management safety or compliance role overseeing multiple programs preferably in a vehicle management setting 3 years of supervisory experience knowledge and experience working in fleet safety,,
569716,bronx district attorney,6,video technician,00,communications intergovernmental affairs technology data innovation policy research analysis,experienced nonmanager,58300.0,58300.0,annual,,,2024-09-08
633021,housing preservation dvlpmnt,1,senior urban designer for the office of neighborhood strategies,00,engineering architecture planning,experienced nonmanager,80000.0,80000.0,annual,,2024-11-04,2024-05-11
539902,bronx district attorney,15,trial preparation assistant trial divisionhomicide,00,legal affairs policy research analysis,experienced nonmanager,44083.0,44083.0,annual,,2022-12-07,2024-09-19
625266,police department,1,eeo liaison network coordinator,01,administration human resources constituent services community programs health policy research analysis,experienced nonmanager,66349.0,99190.0,annual,candidates with diverse experiences and who have knowledge of multiple languages are encouraged to apply,2024-01-02,2024-05-24
629605,dept of design construction,1,contract manager,00,finance accounting procurement,experienced nonmanager,59116.0,67983.0,annual,preference will be given to candidates who possess knowledge of passport and fms the citys financial management system,,
629182,dept of healthmental hygiene,4,special officer bureau of operations,01,constituent services community programs health building operations maintenance,experienced nonmanager,52438.0,59255.0,annual,,2024-07-03,2024-07-05
632281,bronx district attorney,2,litigation trainingtrial preparation assistant lv 2,00,legal affairs,entrylevel,51500.0,69709.0,annual,,2024-02-04,2024-07-31
629833,dept of environment protection,1,assistant commissioner coastal resilience engineering project management,m5,engineering architecture planning policy research analysis,manager,97187.0,220000.0,annual,a valid new york state license as a professional engineer selfmotivated advanced communication skills a solid working knowledge of program management procedures budgeting and procurement and engineering practices so as to facilitate successful planning funding procurement design and construction of both capital and expense infrastructure projects,,
607175,dept of design construction,1,deputy director,00,engineering architecture planning,experienced nonmanager,58682.0,134570.0,annual,a minimum of three years of experience in environmental regulatory compliance with an emphasis on environmental permitting and subsurface investigations and occupational safety and health and hazardous materials investigation and management a thorough knowledge of the citys capital construction and professional services contracts is preferred a strong knowledge of federal state and city construction standards specifically the nycdob code and nycdep regulations nysdec and nysdol usepa and osha regulations supervisory experience is required for this position,,
626389,hradept of social services,1,office assistant,03,social services,experienced nonmanager,39763.0,45728.0,annual,,2024-08-02,
614086,dept of healthmental hygiene,1,laboratory microbiologist ii bureau of the public health laboratory,02,constituent services community programs health policy research analysis,experienced nonmanager,56971.0,63000.0,annual,applicant must possess or be eligible for a new york state clinical laboratory technologist license as described in article 165 of the new york state education law effective september 23 2008 possess clinical laboratory experience knowledge of standard infection precaution procedures and clinical testing experience,,2024-10-30
610409,hradept of social services,1,housing coordinator,02,administration human resources,experienced nonmanager,53057.0,61015.0,annual,,2023-10-10,
633957,nyc housing authority,1,assistant resident building supt ha,00,building operations maintenance,experienced nonmanager,54272.0,83117.0,annual,,,2024-05-19
615661,dept of environment protection,1,ehs training specialist,02,engineering architecture planning public safety inspections enforcement,experienced nonmanager,82506.0,103548.0,annual,,2024-02-01,
536556,hradept of social services,1,program analyst,00,administration human resources building operations maintenance,experienced nonmanager,70611.0,105138.0,annual,,2024-12-01,
634732,district attorneymanhattan,1,analyst,00,legal affairs,entrylevel,49000.0,51984.0,annual,,,
631939,district attorney richmond cou,1,assistant district attorney,00,legal affairs,experienced nonmanager,115000.0,150000.0,annual,,,
629181,off of payroll administration,1,silver star attorney,01,legal affairs policy research analysis,experienced nonmanager,45.0,55.0,hourly,,2024-08-03,
631839,district attorneymanhattan,1,senior timekeeper,00,administration human resources,experienced nonmanager,75035.0,83013.0,annual,,,2024-07-25
625654,dept of healthmental hygiene,1,medicolegal investigator i,01,health,experienced nonmanager,83430.0,83430.0,annual,1 experience in medicolegal investigations,,
629244,dept of environment protection,1,laboratory microbiologist,02,health public safety inspections enforcement,experienced nonmanager,56971.0,78074.0,annual,,,2024-05-17
620326,dept of design construction,1,cadd designer,00,engineering architecture planning,experienced nonmanager,62370.0,71726.0,annual,candidates with excellent verbal and written communication skills knowledge of nyc street infrastructure system and proficiency in autocad microsoft outlook word excel and visio are preferred,,
619278,dept of homeless services,3,program administrator,m3,social services,manager,72038.0,192152.0,annual,proficient in microsoft office suite excellent verbal written and analytical skills,2023-12-12,
600433,department of transportation,1,contract coordinator,03,finance accounting procurement,experienced nonmanager,60010.0,100875.0,annual,government procurement experience knowledge of ppb rules experience with passport experience in fms mayors office of contract services mocs guidelines proficiency with microsoft excel,,
629073,dept of environment protection,1,climber and pruner,00,building operations maintenance,entrylevel,60981.0,70128.0,annual,,,2024-05-17
540191,bronx district attorney,15,assistant district attorney public integrity bureau,00,legal affairs public safety inspections enforcement,experienced nonmanager,80440.0,167610.0,annual,,,2024-09-20
584195,dept of environment protection,1,ehs regional manager,00,engineering architecture planning public safety inspections enforcement,experienced nonmanager,56972.0,157803.0,annual,knowledge and experience in osha nysdol nysdec usepa nycdob fdny and related ehs rules laws and regulations certification from the board of safety professionals or american board of industrial hygiene five or more years of experience in construction safety andor ehs compliance experience working in or with isotype ehs management systems knowledge of microsoft office suite products word excel powerpoint etc demonstrates skills in written and verbal communications independent worker requiring minimal daytoday direction or oversight a valid new york state drivers license,,
586824,dept of design construction,1,deputy director,00,engineering architecture planning,experienced nonmanager,56972.0,123150.0,annual,preference will be given to candidates with strong construction supervisory experience excellent verbal and written communication skills knowledge of the operation design and construction of the citys infrastructure system and knowledge of current engineering methods and standards,,
588639,hradept of social services,1,administrative coordinator,03,administration human resources social services,experienced nonmanager,58695.0,89699.0,annual,,,
626478,dept of environment protection,1,section chief stream management program,00,engineering architecture planning,manager,115000.0,135000.0,annual,,,2024-05-17
605192,bronx district attorney,1,violence response advocate supervisor,00,constituent services community programs health public safety inspections enforcement social services,experienced nonmanager,59116.0,75000.0,annual,,,2024-09-14
633030,hradept of social services,1,reasonable accommodation ra coordinator,03,administration human resources,experienced nonmanager,64137.0,73758.0,annual,,2024-10-04,
618024,district attorneymanhattan,1,supervisor of custodial services,00,building operations maintenance,experienced nonmanager,46843.0,46843.0,annual,,,2024-05-07
634828,department of transportation,8,city parking equipment service worker,01,building operations maintenance public safety inspections enforcement,experienced nonmanager,39539.0,56680.0,annual,candidate is desired to possess an excellent driving record for a minimum of 2 or more years candidate is desired to possess experience driving a large van throughout the city candidate is required to lift heavy material and equipment as necessary,2024-05-05,2024-05-18
635198,department of finance,2,sergeant,02,public safety inspections enforcement,experienced nonmanager,94256.0,94256.0,annual,,2024-04-05,2024-05-11
629444,dept of environment protection,1,senior capital design project manager,03,engineering architecture planning,experienced nonmanager,98470.0,133496.0,annual,,,2024-05-17
621507,department of probation,1,labor relations speicialist,00,administration human resources policy research analysis,experienced nonmanager,84451.0,113550.0,annual,open to candidate currently serving permanently in the administrative staff analyst title,2023-08-04,
631341,dept of design construction,1,engineerincharge,02,engineering architecture planning,experienced nonmanager,88026.0,101230.0,annual,candidates must have strong supervisory experience and excellent verbal and written communication skills and knowledge of the operations design and construction of the citys infrastructure system knowledge of current and uptodate engineering methods and standards is preferred,,
604731,hradept of social services,1,unit clerk,03,social services,entrylevel,39763.0,45728.0,annual,,,
631946,nyc housing authority,1,section 8 team lead,00,administration human resources building operations maintenance,entrylevel,59116.0,91768.0,annual,1section 8 knowledge 2ms office 3maximo 4strong interpersonal and organization skills,,2024-05-20
634144,dept of environment protection,1,business analyst,03,engineering architecture planning policy research analysis,experienced nonmanager,83685.0,122506.0,annual,,,
593916,office of the comptroller,1,senior investment officer fixed income,m5,finance accounting procurement,experienced nonmanager,160000.0,175000.0,annual,demonstrated expertise and experience in fixed income investment manager sourcing evaluation and due diligence is a must experience in portfolio management structuring and monitoring strongly preferred handson experience in producing monthly quarterly and annual investment materials ideal cfa charterholder or progress toward earning the charter excellent quantitative writing presentation interpersonal communication and organizational skills proficiency in microsoft office suite word excel and powerpoint,,
615623,financial info svcs agency,1,job administrationproduction control technician,03,technology data innovation,experienced nonmanager,80000.0,85000.0,annual,,2023-09-11,
630960,dept of environment protection,3,gardener ii,02,constituent services community programs green jobs building operations maintenance,experienced nonmanager,60981.0,75500.0,annual,commercial pesticide applicator category 3a license required excellent communication skills supervisory experience,2024-02-04,
627671,dept of healthmental hygiene,1,public health advisor i bureau of hepatitis hiv and sti,01,health,experienced nonmanager,42721.0,50000.0,annual,good written and oral communication organizational and time management skills fluent english and either spanish or frenchcreole preferred nys drivers license highly desirable,,2024-06-21
627415,dept of healthmental hygiene,2,public health technician bureau of food safety and community sanitation,00,health,experienced nonmanager,38966.0,44811.0,annual,the position draws on technical and scientific skills as well as effective communication skills candidates should have excellent verbal written interpersonal and organizational skills as well as computer skills,,2024-06-20
629030,nyc housing authority,1,supervisor of carpenter,00,building operations maintenance,experienced nonmanager,56.8,56.8,hourly,,,2024-05-18
605417,department of transportation,1,oiler,00,building operations maintenance,experienced nonmanager,478.0,478.0,daily,,,
542256,bronx district attorney,1,assistant district attorney civil litigation bureau,00,legal affairs public safety inspections enforcement,experienced nonmanager,100000.0,100000.0,annual,,,2024-06-24
606631,department of transportation,2,electrician,00,building operations maintenance,experienced nonmanager,440.16,440.16,daily,1 experience with marine electrical systems 2 experience with motor controls and variablefrequency drives,,2024-05-14
609647,dept of healthmental hygiene,1,senior inspector,01,public safety inspections enforcement,experienced nonmanager,66042.0,102646.0,annual,,2024-05-03,2024-07-03
616634,hradept of social services,2,ca pert sr case reviewer,03,social services,experienced nonmanager,58695.0,67499.0,annual,,,
632080,dept of healthmental hygiene,1,junior public health nurse bureau of public health clinics,00,health,experienced nonmanager,45.5594,45.5594,hourly,,2024-02-04,2025-04-02
629768,nyc housing authority,2,senior project manager,00,policy research analysis,experienced nonmanager,81571.0,119554.0,annual,1 technical knowledge related to finance real estate public administration and other related professional fields to ensure accurate interpretation of policies legislation regulations and standards applied to problems involving land use zoning infrastructure finance and other planning issues 2 proven strength in the use of spreadsheets database and presentation applications including excel and powerpoint 3 knowledge of new york city new york state and federal affordable housing programs and the housing development process 4 strong interpersonal written verbal and analytical skills 5 experience in microsoft office word excel access project and powerpoint,2024-09-04,
